item,cost
Turkey (Whole),25.00
Ham Joint,15.00
Stuffing Mix,2.50
Cranbry Sc,2.00
Gravy Grnls,1.80
Pigs n Blnkts,4.50
Roast Pot,2.50
Sprts (500g),1.50
Parsnps (1kg),2.00
Crts (1kg),1.00
Red Cabge,1.80
Xmas Pudd,6.00
Mince Pies,3.50
Brndy Btr,2.50
Chees Sel,8.00
Crckrs (Chees),2.50
Smkd Salmn,6.00
Party Plat,10.00
Nuts (Mixd),5.00
Chocs (Qlty St),6.00
Shortbrd,4.00
Yule Log,5.00
Mlld Wine,4.50
Prosecco,10.00
Baileys,12.00
Sherry,8.00
Cider,6.50
Xmas Crckrs,10.00
Table Decs,8.00
Candles,3.00
Fstv Napkns,2.50
Gift Wrap,5.00
Gift Tags,1.50
Xmas Cds,4.00
Tinsel,2.50
Baubles,8.00
Tree Topr,12.00
Fairy Lghts,15.00
Wrppng Pap,6.00
Ribbon,3.00
Tape Disp,2.00
Panettone,6.00
Stollen,5.00
Trifle,8.00
Custard,2.00
Whppd Crm,2.50
Chutney,3.50
Pickle Jr,3.00
Chips n Dps,5.00
Olives,3.00
Brdstcks,1.50
Sausge Rlls,4.50
Eggnog,5.00
Hot Chclt,3.00
Marshmllws,2.00
Xmas Cake,12.00
Icing Sgr,1.50
Food Clrng,1.00
Fstv Sprnkls,2.50
Roast Tin,8.00
Serv Trays,6.00
Plts (Dspsbl),4.00
Fstv Bowls,5.00
Cutlry (Plst),3.00
Dishwshr Tbl,5.00
Wsh Up Lqd,1.50
Fstv Towls,8.00
Party Hats,3.00
Xmas Ornmnts,12.00
Gift Boxs,10.00
Stckng Fllrs,15.00
Toys (Brd Gms),20.00
Puzzle Sets,10.00
Books (Xmas Strs),8.00
Hldy Cndies,5.00
Ssnl Cook,4.00
Snow Globes,12.00
Xmas Socks,6.00
Wntr Scrvs,15.00
Mittens,8.00
Wool Hats,10.00
Poinstta Plnt,10.00
Fstv Wreath,15.00
Grlnd (Dec),12.00
Firewd Bndl,5.00
Charcoal,6.00
Roast Chest,3.50
Advnt Clnd,8.00
Cinn Stcks,1.50
Star Anise,2.00
Cloves,2.50
Gngrbd Mix,3.50
Fstv Aprons,8.00
