item,cost
Bleach,1.50
Mop,7.99
Polish,3.00
Dusters,2.00
Brsh(Tlt),2.50
SpongeScrr,1.00
Clth(Dst),1.50
Bkt(Mop),5.00
Broom,6.00
Dustpan,3.50
RubbishBgs,2.00
DishLqd,1.50
WshPowder,4.00
FabSoft,3.00
AirFreshnr,2.50
MultiSurfCln,3.50
GlassClnr,2.00
OvenClnr,4.00
FloorClnr,3.00
TltBlcks,2.50
HandSoap,1.00
BinBags,2.00
ScourPads,1.50
KitchRoll,2.50
ToiletRoll,4.00
ClngWipes,2.00
LndryDtrgnt,5.00
IronSpray,3.00
VacuumBags,6.00
LightBulbs,4.00
Batteries,3.00
BinLiners,2.00
DishClths,1.50
WshUpLqd,1.50
DisinfSpr,3.00
MouldRmv,4.00
DrainUnblk,5.00
Bleach(Thk),2.00
Squeegee,4.00
MicrofbClth,3.00
Sponges,1.00
ScrubBrsh,2.50
RubbrGlvs,1.50
DryingRack,8.00
IronBoard,12.99
LndryBsket,7.00
StoreBoxes,10.00
StepStool,11.00
