Item,Price
Milk (2L),1.65
BRD (Warburtons),1.40
Eggs (Doz),2.20
Butter (Lrpk),3.50
Cheese (Mature),3.20
Chkn (500g),4.50
Mince (Beef),4.20
SSG (Richmond),2.75
Bacon (200g),2.80
Pots (2kg),1.50
Carrots (1kg),0.95
Broc,0.85
Onions (1kg),1.10
Toms (6pk),1.80
Cuk,0.95
Apples (6pk),2.00
Bans (1kg),1.20
Orngs (6pk),2.50
Grapes (500g),2.00
Strawbs (250g),2.50
Yoghurt (Müller),3.50
Crisps (Wlkrs),1.75
Cereal (Wbx),3.50
Tea (PG 80),2.50
Coffee (NSCFE),3.60
Sugar (1kg),1.00
Flour (1kg),1.30
Pasta (1kg),1.80
Rice (1kg),2.00
Tmto Puree,0.60
Beans (Hnz),1.20
Soup (Hnz Tin),1.50
Tuna (Tin),1.50
Salmn (Frzn),5.50
Pizza (GFla's),3.00
Chips (Frzn),2.50
Fsh Fngrs,2.75
Ice Crm (B&J),4.50
Biscs (Hbobs),1.70
Choc (Cdby),1.25
Sweets (Hbio),1.00
Fizzy (Coke),2.25
Juice (Trop),2.50
Water (Evian),1.25
Beer (Carlng),5.00
Wine (Echo F),6.50
Soap (Dove),1.25
Shmpoo (H&S),4.50
Toothpst (Clg),1.50
T-Roll (Andrx),3.50
K-Roll,2.50
Wash Lqd (Fairy),1.50
Lndry Detg,5.00
Bleach (Dmstos),1.00
Bn Bags,2.00
Foil,2.50
Cling Flm,1.80
Bkg Soda,1.00
Spice (Papka),1.20
Oil (O.Oil),3.50
Vinegar (Malt),1.00
Ketchup (Hnz),2.50
Mayo (Hellmns),2.80
Mustard (Cmn's),1.50
PB (Skippy),2.50
Jam (Strwbry),1.50
Honey (Sqzy),3.00
Lettu (Iceberg),0.90
Grn Beans,1.20
Mshrms (300g),1.40
Courgts,1.20
Swtcorn,1.00
Frzn Peas,1.50
Milkshk,1.30
Oats (Prdg),1.50
Noodles (Pot),1.25
B-Sticks,1.00
G-Bread,1.50
Chz Spread,1.80
Meatballs,3.00
Ham (Thin),1.50
Prawns (200g),3.50
Curry Sce,2.00
Gravy (Bsto),1.80
Stock Cbs,1.50
Pzza Base,2.00
Wraps (6pk),1.75
Tort Chips,1.50
Salsa Dip,1.50
S-Cream Dip,1.50
Nuggets,3.00
Waffles,2.50
Brkfst Bar,2.00
C-Bar,2.00
Pcake Mix,1.50
Whip Crm,1.20
Jelly (Hrts),1.00
Chz Slice,2.00
BBQ Sce,2.00
Fz Pizza,3.50
Syrup,1.80
Fruit Cake,2.50
Rice Cakes,1.50
Pineapple,2.00
Avocado,1.50
Spinach (Bag),1.00
Bagels,1.50
Crumpets,1.30
Almond Milk,1.50
Soy Milk,1.80
Oat Milk,2.00
Yogurt (Alpro),2.00
Tofu (Firm),1.80
Veg Burgers,3.00
Pasta Sce,2.00
Lasagna,4.50
Mince Pies,3.50
Porridge Cup,1.20
Fruit Smoothie,2.50
Energy Drink,1.50
Frozen Berries,3.50
Ice Lollies,2.50
Ready Meal,4.00
Tinned Fruit,1.20
Coconut Milk,1.50
Curry Paste,1.80
Frozen Pizza,3.00
Cheesecake,3.50
Choc Spread,2.00
Marshmallows,1.00
Trail Mix,2.50
Granola,2.80
Frozen Chips,2.50
Garlic Bread,1.50
Chicken Wings,4.50
Veg Stir Fry,2.00
Meatballs,3.50
Frozen Fish,5.00
Tuna Steaks,6.00
Sliced Ham,2.50
Cold Cuts,3.00
BBQ Sauce,2.00
Soy Sauce,1.50
Honey Jar,3.00
Mango Chunks,2.50
Baked Goods,3.50
Frozen Pancakes,2.50
Egg Whites,2.00
Pickles Jar,1.50
Tortilla Wraps,2.00
Veg Spring Rolls,3.00
Frozen Dumplings,3.50
Fizzy Bottles,1.50
Coconut Water,2.00
Protein Powder,6.00
Cooking Oil,2.50
Frozen Peas,1.50
Veg Soup Tin,1.00
Sliced Bread,1.20
Wrap Rolls,1.80
Salad Dressing,2.50
Ready-To-Eat Salad,2.50
Baby Food,1.00
Milk Powder,6.50
Toothpaste,1.50
Baby Shampoo,3.00
Soap Bar,1.00
Laundry Pods,5.00
Toilet Cleaner,2.00
Kitchen Sponge,1.00
Trash Bags,2.00
Kitchen Towels,2.50
Plastic Wrap,1.50
Foil Wrap,1.50
Cloth Detergent,5.00
BBQ Charcoal,6.50
Grill Cleaner,3.00
Egg Holder,1.00
Butter Knife,1.50
Cheese Grater,3.00
Salad Spinner,6.00
Waffle Mix,2.50
Cereal Bowl,1.00
Coffee Mug,2.00
Veg Knife,2.50
Juice Extractor,8.00
Blender Cup,6.00
Ice Cube Tray,1.50
Measuring Cups,3.50
Veg Chopper,5.00
Rice Cooker,10.00
Electric Kettle,12.00
